DATE;CLE DE REPARTITION;TYPE DE CHARGE;LIBELLE;A REPARTIR;TVA;RECUPERABLE
06/03/2024;001 - CHARGES GENERALES;100 - CONTRAT D'ENTRETIEN;ENTREPRISE A - ENTRETIEN TOITURE 2024;"645,95";"58,72";"645,95"
31/12/2024;001 - CHARGES GENERALES;110 - CONTRAT ESPACES VERTS;ENTREPRISE B - ENTRETIEN 4E TRIM 2024;"465,83";"77,64";"465,83"
15/10/2024;001 - CHARGES GENERALES;110 - CONTRAT ESPACES VERTS;ENTREPRISE B - ENTRETIEN 3E TRIM 2024;"465,83";"77,64";"465,83"
25/06/2024;001 - CHARGES GENERALES;110 - CONTRAT ESPACES VERTS;ENTREPRISE B - ENTRETIEN 2E TRIM 2024;"465,83";"77,64";"465,83"
15/03/2024;001 - CHARGES GENERALES;110 - CONTRAT ESPACES VERTS;ENTREPRISE B - ENTRETIEN 1E TRIM 2024;"465,83";"77,64";"465,83"
30/04/2024;001 - CHARGES GENERALES;120 - CONTRAT NETTOYAGE;ENTREPRISE C - NETTOYAGE PARTIES COMMUNES;"312,00";"31,20";"312,00"
30/06/2024;001 - CHARGES GENERALES;120 - CONTRAT NETTOYAGE;ENTREPRISE C - NETTOYAGE PARTIES COMMUNES;"312,00";"31,20";"312,00"
30/09/2024;001 - CHARGES GENERALES;120 - CONTRAT NETTOYAGE;ENTREPRISE C - NETTOYAGE PARTIES COMMUNES;"312,00";"31,20";"312,00"
31/12/2024;001 - CHARGES GENERALES;120 - CONTRAT NETTOYAGE;ENTREPRISE C - NETTOYAGE PARTIES COMMUNES;"312,00";"31,20";"312,00"
15/05/2024;001 - CHARGES GENERALES;150 - ASSURANCE IMMEUBLE;ASSUREUR X - PRIME ANNUELLE 2024;"2 450,00";"0,00";"2 450,00"
10/01/2024;001 - CHARGES GENERALES;200 - EAU FROIDE;FOURNISSEUR EAU - ABONNEMENT + CONSOMMATION;"1 238,40";"0,00";"1 238,40"
10/07/2024;001 - CHARGES GENERALES;200 - EAU FROIDE;FOURNISSEUR EAU - ABONNEMENT + CONSOMMATION;"1 180,20";"0,00";"1 180,20"
15/02/2024;002 - CHARGES ASCENSEUR;300 - CONTRAT ASCENSEUR;ENTREPRISE D - MAINTENANCE ASCENSEUR 2024;"980,00";"98,00";"980,00"
30/11/2024;002 - CHARGES ASCENSEUR;310 - REPARATIONS ASCENSEUR;ENTREPRISE D - REMPLACEMENT CABLE;"750,00";"75,00";"750,00"
20/09/2024;001 - CHARGES GENERALES;400 - HONORAIRES SYNDIC;CABINET SYNDIC - HONORAIRES 2024;"3 600,00";"360,00";"3 600,00"
